<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.07	00:30:00	4658.956	4660.994	4657.384	4660.417	1762	0	280
2026.04.07	00:45:00	4660.442	4661.449	4654.206	4654.722	2072	0	280
2026.04.07	01:00:00	4654.699	4664.325	4627.165	4640.401	14289	0	280
2026.04.07	01:15:00	4640.480	4657.560	4637.600	4654.575	7930	0	280
2026.04.07	01:30:00	4654.898	4662.567	4628.686	4641.775	9779	0	280
2026.04.07	01:45:00	4641.858	4647.310	4616.331	4626.659	9912	0	280
2026.04.07	02:00:00	4626.729	4634.231	4619.655	4626.464	6588	0	280
2026.04.07	02:15:00	4626.369	4635.283	4622.665	4634.369	3115	0	280
2026.04.07	02:30:00	4634.308	4646.931	4633.591	4646.110	3681	0	280
2026.04.07	02:45:00	4646.025	4654.089	4645.117	4650.358	3606	0	280
2026.04.07	03:00:00	4650.411	4653.996	4641.643	4645.037	3220	0	280
2026.04.07	03:15:00	4644.851	4647.880	4639.456	4642.644	3267	0	280
2026.04.07	03:30:00	4642.683	4648.494	4641.864	4647.955	1861	0	280
2026.04.07	03:45:00	4647.897	4650.978	4647.124	4649.560	1540	0	280
2026.04.07	04:00:00	4649.496	4651.427	4645.436	4646.204	1793	0	280
2026.04.07	04:15:00	4645.948	4651.208	4645.624	4650.270	1768	0	280
2026.04.07	04:30:00	4650.329	4664.159	4649.679	4662.130	2817	0	280
2026.04.07	04:45:00	4662.119	4663.980	4659.262	4659.810	2067	0	280
2026.04.07	05:00:00	4659.688	4661.306	4654.258	4655.812	1650	0	280
2026.04.07	05:15:00	4655.689	4658.100	4630.351	4632.820	3659	0	280
2026.04.07	05:30:00	4632.742	4641.524	4622.758	4631.393	7745	0	280
2026.04.07	05:45:00	4631.389	4646.540	4629.315	4642.832	3926	0	280
2026.04.07	06:00:00	4643.220	4648.172	4638.220	4646.945	4941	0	280
2026.04.07	06:15:00	4647.253	4649.284	4637.737	4641.086	4266	0	280
2026.04.07	06:30:00	4641.010	4653.870	4640.819	4652.557	3947	0	280
2026.04.07	06:45:00	4652.198	4656.457	4648.492	4653.249	3233	0	280
2026.04.07	07:00:00	4653.176	4657.082	4649.180	4651.439	3957	0	280
2026.04.07	07:15:00	4651.705	4653.884	4638.796	4639.759	3777	0	280
2026.04.07	07:30:00	4639.693	4646.625	4636.555	4643.799	2822	0	280
2026.04.07	07:45:00	4643.508	4646.970	4638.878	4645.863	2206	0	280
2026.04.07	08:00:00	4646.180	4665.503	4644.153	4663.357	8392	0	280
2026.04.07	08:15:00	4663.708	4690.829	4656.974	4678.389	8925	0	280
2026.04.07	08:30:00	4678.448	4687.666	4676.969	4682.857	5489	0	280
2026.04.07	08:45:00	4682.853	4687.423	4679.045	4682.952	3927	0	280
2026.04.07	09:00:00	4682.930	4693.697	4680.798	4685.176	3625	0	280
2026.04.07	09:15:00	4685.534	4694.641	4682.691	4686.720	4665	0	280
2026.04.07	09:30:00	4686.719	4687.042	4665.341	4667.279	5159	0	280
2026.04.07	09:45:00	4667.344	4675.793	4658.733	4670.728	4138	0	280
2026.04.07	10:00:00	4670.786	4679.952	4662.142	4676.682	6872	0	280
2026.04.07	10:15:00	4676.740	4680.494	4657.844	4668.004	6973	0	280
2026.04.07	10:30:00	4668.235	4672.072	4654.355	4662.526	5431	0	280
2026.04.07	10:45:00	4662.434	4662.735	4649.144	4652.199	5982	0	280
2026.04.07	11:00:00	4652.129	4656.278	4628.585	4635.801	6186	0	280
2026.04.07	11:15:00	4635.444	4651.830	4632.884	4647.699	5061	0	280
2026.04.07	11:30:00	4647.928	4663.138	4647.174	4662.860	4468	0	280
2026.04.07	11:45:00	4662.847	4664.232	4656.176	4659.817	2812	0	280
2026.04.07	12:00:00	4659.883	4664.898	4651.267	4654.690	6224	0	280
2026.04.07	12:15:00	4654.759	4670.834	4651.143	4666.066	5426	0	280
2026.04.07	12:30:00	4666.212	4667.711	4655.977	4656.813	3228	0	280
2026.04.07	12:45:00	4656.757	4662.401	4646.720	4651.714	5759	0	280
2026.04.07	13:00:00	4651.478	4660.049	4648.282	4656.505	6493	0	280
2026.04.07	13:15:00	4656.444	4663.012	4650.187	4657.829	4462	0	280
2026.04.07	13:30:00	4657.885	4663.188	4635.468	4639.866	10440	0	280
2026.04.07	13:45:00	4639.809	4654.049	4637.113	4644.395	8444	0	280
2026.04.07	14:00:00	4644.101	4645.532	4607.334	4622.080	12649	0	280
2026.04.07	14:15:00	4621.728	4649.510	4609.580	4645.100	11751	0	280
2026.04.07	14:30:00	4645.159	4661.258	4642.483	4647.266	8313	0	280
